id,name
1,BADMINTON
2,BASKETBALL
3,DRAGONBOAT TEAM
4,FLOORBALL
5,NETBALL
6,SOCCER
7,SQUASH
8,TABLE TENNIS
9,TCHOUKBALL
10,TENNIS
11,TOUCH RUGBY
12,VOLLEYBALL
13,CHINESE CULTURAL SOCIETY
14,CHINESE ORCHESTRA
15,CHOIR
16,DANCE SOCIETY
17,ENGLISH DRAMA CLUB
18,GUZHENG ENSEMBLE
19,PHOTOGRAPHIC SOCIETY
20,SYMPHONIC BAND
21,AEP CLUB
22,AVA CLUB
23,BIZ CLUB
24,CHANNEL NEWS NANYANG
25,CHINESE LITERARY CLUB
26,RED CROSS YOUTH (NANYANG JUNIOR COLLEGE CHAPTER)
27,INTERACT CLUB
28,GYM CLUB
29,MALAY CULTURAL SOCIETY
30,NANYANG DEBATERS AND ORATORS (NYDO)
31,OUTDOOR ACTIVITIES CLUB
32,ROBOTICS CLUB
33,THE DRUM (MEDIA RESOURCE LIBRARY)
34,ACOUSTIC MOVEMENT
35,CHINESE DEBATE
36,DIABOLO
37,EUROPEAN SOCIETY
38,GREEN ALLIANCE
39,HACAS (HISTORY &AMP; CURRENT AFFAIRS SOCIETY)
40,HANJA
41,J-FIRE
42,KORZY
43,MATHEMATICS CLUB
44,MINISTRY OF RECREATIONAL GAMES
45,NANYANG ASTRONOMER’S CLUB (NYASTRO)
46,NANYANG CALLIGRAPHY AND LETTERING (NYCAL)
47,NANYANG LAW SOCIETY
48,NANYANG&NBSP;MUSICIANS&NBSP;CLUB
49,NANYANG S.LAB
50,NANYANG STRINGS ENSEMBLE (NYSE)
51,NY ALCHEMY
52,NYARTS
53,NY CHESS CLUB
54,NYCUBERS
55,NYMAGIC
56,NYPIANISTS
57,NY VOICES
58,NY WRITER’S CIRCLE
59,PAWS ON PARADE
