student_id,subject_code
1,H2CHEM
1,H2COMP
1,H2MATH
1,H1ECON
2,H2COMP
2,H2MATH
2,H2ECON
2,H2PHY
3,H2COMP
3,H2MATH
3,H2ECON
3,H2CHEM
4,H2COMP
4,H2MATH
4,H2ECON
4,H2TRAN
5,H2FMATH
5,H2MATH
5,H2COMP
5,H2ECON
6,H2PHY
6,H2COMP
6,H2MATH
6,H2ECON
7,H1CHEM
7,H2COMP
7,H2MATH
7,H2ECON
8,H2CHEM
8,H2COMP
8,H2MATH
8,H2ECON
9,H2PHYS
9,H2COMP
9,H2MATH
9,H2TRAN
10,H2PHY
10,H2COMP
10,H2MATH
10,H1GEOG
11,H2PHY
11,H2COMP
11,H2MATH
11,H2ECON
12,H2PHY
12,H2COMP
12,H2MATH
12,H2ECON
13,H2PHY
13,H2COMP
13,H2MATH
13,H2ECON
14,H2PHY
14,H2COMP
14,H2MATH
14,H2ECON
15,H2PHY
15,H2COMP
15,H2MATH
15,H1ECON
16,H2PHY
16,H2COMP
16,H2MATH
16,H1ECON
17,H2PHY
17,H2COMP
17,H2MATH
17,H2ECON
18,H2PHY
18,H2COMP
18,H2MATH
18,H2ECON
19,H2PHY
19,H2COMP
19,H2MATH
19,H1ECON
20,H2PHY
20,H2COMP
20,H2MATH
20,H1ECON
21,H2PHY
21,H2COMP
21,H2MATH
21,H1ECON
22,H2PHY
22,H2COMP
22,H2MATH
22,H1ECON
23,H2PHY
23,H2COMP
23,H2MATH
23,H1ECON
24,H2PHY
24,H2COMP
24,H2MATH
24,H2ECON
25,H2PHY
25,H2COMP
25,H2MATH
25,H1ECON
